,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
114,19,SV Sandhausen,2,0,Nurnberg,2.74,3.28,2.48
115,19,VfL Bochum,1,2,Karlsruher SC,2.08,3.43,3.29
116,19,Hannover 96,1,0,VfL Osnabruck,1.66,3.75,4.75
0,20,Erzgebirge Aue,3,3,Hamburger SV,4.28,3.71,1.75
1,20,St. Pauli,2,1,SV Sandhausen,2.15,3.40,3.10
2,20,VfL Osnabruck,1,2,VfL Bochum,3.32,3.40,2.06
3,20,Eintracht Braunschweig,1,2,Hannover 96,3.52,3.37,2.01
4,20,Darmstadt,1,2,Nurnberg,2.30,3.40,2.86
5,20,Greuther Furth,4,1,Wurzburger Kickers,1.54,4.09,5.43
6,20,Karlsruher SC,0,0,Jahn Regensburg,2.16,3.38,3.18
7,20,Fortuna Dusseldorf,0,2,Holstein Kiel,2.21,3.40,3.03
8,20,SC Paderborn 07,2,2,Heidenheimer,2.21,3.36,3.13
9,21,Hannover 96,0,0,SC Paderborn 07,2.18,3.28,3.21
10,21,Holstein Kiel,1,0,Wurzburger Kickers,1.61,3.75,5.22
11,21,Jahn Regensburg,1,1,Fortuna Dusseldorf,2.92,3.31,2.30
12,21,SV Sandhausen,2,3,Karlsruher SC,3.01,3.31,2.25
13,21,Heidenheimer,2,0,Erzgebirge Aue,1.88,3.48,3.90
14,21,Hamburger SV,0,0,Greuther Furth,1.99,3.39,3.58
15,21,VfL Bochum,2,0,Eintracht Braunschweig,1.68,3.67,4.70
16,21,Darmstadt,1,0,VfL Osnabruck,1.97,3.41,3.67
17,21,Nurnberg,1,2,St. Pauli,2.23,3.38,3.00
18,22,Erzgebirge Aue,1,0,VfL Bochum,3.43,3.37,2.04
19,22,Eintracht Braunschweig,2,0,Jahn Regensburg,2.70,3.14,2.57
20,22,VfL Osnabruck,1,2,Heidenheimer,3.26,3.25,2.15
21,22,SC Paderborn 07,2,1,SV Sandhausen,1.72,3.61,4.48
22,22,St. Pauli,3,2,Darmstadt,2.41,3.17,2.90
23,22,Karlsruher SC,0,1,Nurnberg,2.06,3.34,3.38
24,22,Wurzburger Kickers,3,2,Hamburger SV,5.10,3.77,1.62
25,22,Fortuna Dusseldorf,3,2,Hannover 96,2.36,3.24,2.88
26,22,Greuther Furth,2,1,Holstein Kiel,2.38,3.32,2.79
27,23,Jahn Regensburg,1,0,SC Paderborn 07,2.62,3.26,2.56
28,23,Darmstadt,0,1,Karlsruher SC,2.33,3.37,2.84
29,23,Holstein Kiel,1,0,Erzgebirge Aue,1.66,3.79,4.60
30,23,VfL Bochum,3,0,Wurzburger Kickers,1.55,3.92,5.57
31,23,Hannover 96,2,2,Greuther Furth,2.31,3.43,2.81
32,23,Nurnberg,0,0,Eintracht Braunschweig,1.91,3.54,3.67
33,23,SV Sandhausen,3,0,VfL Osnabruck,2.20,3.26,3.14
34,23,Heidenheimer,3,2,Fortuna Dusseldorf,2.42,3.22,2.82
35,23,St. Pauli,1,0,Hamburger SV,3.69,3.46,1.93
36,24,SC Paderborn 07,2,3,Darmstadt,2.01,3.51,3.38
37,24,Wurzburger Kickers,1,2,Heidenheimer,3.22,3.40,2.12
38,24,Greuther Furth,1,2,VfL Bochum,2.48,3.26,2.71
39,24,Erzgebirge Aue,1,1,Hannover 96,3.04,3.41,2.18
40,24,Karlsruher SC,0,0,St. Pauli,2.07,3.46,3.27
41,24,Eintracht Braunschweig,1,0,SV Sandhausen,2.58,3.14,2.66
42,24,Fortuna Dusseldorf,3,1,Nurnberg,2.02,3.46,3.38
43,24,Hamburger SV,1,1,Holstein Kiel,2.05,3.42,3.33
44,24,VfL Osnabruck,0,1,Jahn Regensburg,2.85,3.23,2.41
45,25,VfL Bochum,0,2,Hamburger SV,2.50,3.42,2.62
46,25,SV Sandhausen,0,0,Fortuna Dusseldorf,3.16,3.44,2.16
47,25,Darmstadt,4,1,Erzgebirge Aue,1.94,3.51,3.60
48,25,Karlsruher SC,0,0,Eintracht Braunschweig,1.87,3.51,3.94
49,25,Nurnberg,1,1,VfL Osnabruck,1.89,3.44,3.89
50,25,St. Pauli,0,2,SC Paderborn 07,2.30,3.39,2.91
51,25,Jahn Regensburg,1,2,Greuther Furth,3.24,3.29,2.16
52,25,Heidenheimer,1,0,Holstein Kiel,2.87,3.05,2.52
53,25,Hannover 96,1,2,Wurzburger Kickers,1.71,3.76,4.47
54,26,SC Paderborn 07,2,2,Karlsruher SC,2.18,3.35,3.14
55,26,Hamburger SV,2,0,Heidenheimer,1.84,3.57,3.96
56,26,Erzgebirge Aue,2,0,SV Sandhausen,2.04,3.50,3.41
57,26,Eintracht Braunschweig,1,1,Darmstadt,2.92,3.38,2.29
58,26,Greuther Furth,2,2,Nurnberg,2.04,3.42,3.44
59,26,VfL Osnabruck,1,2,St. Pauli,2.89,3.32,2.31
60,26,Wurzburger Kickers,1,1,Jahn Regensburg,2.72,3.36,2.45
61,26,Fortuna Dusseldorf,0,3,VfL Bochum,2.42,3.26,2.78
62,26,Holstein Kiel,1,0,Hannover 96,2.12,3.42,3.20
63,27,Heidenheimer,0,1,Greuther Furth,2.35,3.34,2.85
64,27,Karlsruher SC,0,1,VfL Osnabruck,1.68,3.61,4.78
65,27,VfL Bochum,2,1,Holstein Kiel,2.34,3.29,2.91
66,27,Nurnberg,2,1,SC Paderborn 07,2.41,3.30,2.77
67,27,Jahn Regensburg,1,1,Erzgebirge Aue,2.16,3.31,3.22
68,27,SV Sandhausen,1,0,Wurzburger Kickers,2.14,3.33,3.22
69,27,Darmstadt,1,2,Fortuna Dusseldorf,2.66,3.25,2.54
70,27,Hannover 96,3,3,Hamburger SV,2.92,3.26,2.34
71,27,St. Pauli,2,0,Eintracht Braunschweig,2.01,3.40,3.59
72,28,Hamburger SV,1,2,Darmstadt,1.70,3.73,4.48
73,28,SC Paderborn 07,3,0,VfL Bochum,2.66,3.30,2.49
74,28,Erzgebirge Aue,1,3,St. Pauli,2.84,3.25,2.37
75,28,Hannover 96,1,3,Heidenheimer,2.52,3.18,2.76
76,28,VfL Osnabruck,0,4,Eintracht Braunschweig,2.64,3.24,2.61
77,28,Wurzburger Kickers,1,1,Nurnberg,3.02,3.34,2.25
78,28,Greuther Furth,3,2,SV Sandhausen,1.65,3.84,4.93
79,28,Fortuna Dusseldorf,3,2,Karlsruher SC,2.21,3.28,3.14
80,28,Holstein Kiel,3,2,Jahn Regensburg,1.66,3.95,4.87
81,29,Eintracht Braunschweig,0,0,SC Paderborn 07,2.69,3.22,2.54
82,29,Darmstadt,2,2,Greuther Furth,3.06,3.39,2.20
83,29,St. Pauli,4,0,Wurzburger Kickers,1.70,3.81,4.41
84,29,Jahn Regensburg,0,3,Heidenheimer,2.61,3.19,2.60
85,29,VfL Bochum,4,3,Hannover 96,1.76,3.70,4.22
86,29,VfL Osnabruck,0,3,Fortuna Dusseldorf,3.38,3.35,2.07
87,29,SV Sandhausen,2,1,Hamburger SV,5.01,4.00,1.61
88,29,Karlsruher SC,0,0,Erzgebirge Aue,1.87,3.57,3.89
89,29,Nurnberg,1,1,Holstein Kiel,2.83,3.33,2.37
90,30,Greuther Furth,3,0,Eintracht Braunschweig,1.58,3.91,5.39
91,30,Erzgebirge Aue,0,1,Nurnberg,2.67,3.33,2.49
92,30,Wurzburger Kickers,1,3,Darmstadt,3.11,3.53,2.13
93,30,Hannover 96,3,1,Jahn Regensburg,2.00,3.41,3.58
94,30,Heidenheimer,0,2,VfL Bochum,2.59,3.37,2.55
95,30,SC Paderborn 07,2,2,VfL Osnabruck,1.67,3.69,4.87
96,30,Fortuna Dusseldorf,2,0,St. Pauli,2.25,3.35,2.99
97,30,Hamburger SV,1,1,Karlsruher SC,1.73,3.55,4.61
98,30,Holstein Kiel,2,0,SV Sandhausen,1.71,3.70,4.62
99,31,Karlsruher SC,2,2,Wurzburger Kickers,1.63,3.91,4.83
100,31,Eintracht Braunschweig,0,2,Erzgebirge Aue,2.37,3.31,2.84
101,31,VfL Osnabruck,1,3,Holstein Kiel,4.03,3.57,1.83
102,31,Nurnberg,3,1,Heidenheimer,2.51,3.31,2.64
103,31,SC Paderborn 07,2,1,Fortuna Dusseldorf,2.41,3.43,2.70
104,31,Jahn Regensburg,1,1,Hamburger SV,4.62,3.71,1.71
105,31,SV Sandhausen,4,2,Hannover 96,2.86,3.34,2.36
106,31,St. Pauli,2,1,Greuther Furth,2.76,3.43,2.39
107,31,Darmstadt,3,1,VfL Bochum,3.26,3.51,2.08
108,32,Hannover 96,1,2,Darmstadt,2.17,3.57,2.96
109,32,Holstein Kiel,4,0,St. Pauli,2.10,3.53,3.13
110,32,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,1.50,4.20,5.72
111,32,Greuther Furth,2,2,Karlsruher SC,1.63,3.94,4.65
112,32,Wurzburger Kickers,1,3,VfL Osnabruck,2.58,3.43,2.48
113,32,Erzgebirge Aue,3,8,SC Paderborn 07,2.74,3.33,2.40
114,32,VfL Bochum,5,1,Jahn Regensburg,1.53,4.08,5.38
115,32,Heidenheimer,2,1,SV Sandhausen,2.08,3.49,3.17
116,32,Hamburger SV,5,2,Nurnberg,1.69,3.79,4.45
117,33,Eintracht Braunschweig,1,2,Wurzburger Kickers,1.63,3.94,4.89
118,33,Darmstadt,5,1,Heidenheimer,3.00,3.49,2.20
119,33,Fortuna Dusseldorf,3,0,Erzgebirge Aue,1.62,4.02,4.86
120,33,Karlsruher SC,3,2,Holstein Kiel,3.06,3.46,2.18
121,33,Nurnberg,1,1,VfL Bochum,3.59,3.63,1.91
122,33,SC Paderborn 07,2,4,Greuther Furth,3.22,3.68,2.03
123,33,SV Sandhausen,2,0,Jahn Regensburg,2.15,3.41,3.13
124,33,St. Pauli,1,2,Hannover 96,2.44,3.41,2.69
125,33,VfL Osnabruck,3,2,Hamburger SV,4.00,3.80,1.78
126,34,Erzgebirge Aue,2,1,VfL Osnabruck,3.09,3.50,2.14
127,34,VfL Bochum,3,1,SV Sandhausen,1.64,3.91,4.73
128,34,Greuther Furth,3,2,Fortuna Dusseldorf,1.63,4.02,4.67
129,34,Hamburger SV,4,0,Eintracht Braunschweig,1.74,3.93,4.10
130,34,Hannover 96,1,2,Nurnberg,2.42,3.39,2.73
131,34,Heidenheimer,1,2,Karlsruher SC,2.40,3.43,2.74
132,34,Holstein Kiel,2,3,Darmstadt,1.62,4.07,4.67
133,34,Jahn Regensburg,3,0,St. Pauli,2.43,3.37,2.72
134,34,Wurzburger Kickers,1,1,SC Paderborn 07,4.36,3.90,1.71
